Lot Frontage,Overall Qual,Year Built,Year Remod/Add,Mas Vnr Area,BsmtFin SF 1,Total Bsmt SF,Central Air,Gr Liv Area,Full Bath,Half Bath,Kitchen Qual,Fireplaces,Garage Finish,Garage Cars,Paved Drive,Wood Deck SF,Open Porch SF,SalePrice,SalePriceLog
141.0,6,1960,1960,112.0,639.0,1080.0,Y,1656,1,0,TA,2,Fin,2.0,P,210,62,215000,12.278397958261774
80.0,5,1961,1961,0.0,468.0,882.0,Y,896,1,0,TA,0,Unf,1.0,Y,140,0,105000,11.561725152903833
81.0,6,1958,1958,108.0,923.0,1329.0,Y,1329,1,1,Gd,0,Unf,1.0,Y,393,36,172000,12.055255569732177
93.0,7,1968,1968,0.0,1065.0,2110.0,Y,2110,2,1,Ex,2,Fin,2.0,Y,0,0,244000,12.404927602627597
74.0,5,1997,1998,0.0,791.0,928.0,Y,1629,2,1,TA,1,Fin,2.0,Y,212,34,189900,12.15425816271595
78.0,6,1998,1998,20.0,602.0,926.0,Y,1604,2,1,Gd,1,Fin,2.0,Y,360,36,195500,12.18332077348399
41.0,8,2001,2001,0.0,616.0,1338.0,Y,1338,2,0,Gd,0,Fin,2.0,Y,0,0,213500,12.271396795480596
43.0,8,1992,1992,0.0,263.0,1280.0,Y,1280,2,0,Gd,0,RFn,2.0,Y,0,82,191500,12.162648309521318
39.0,8,1995,1996,0.0,1180.0,1595.0,Y,1616,2,0,Gd,1,RFn,2.0,Y,237,152,236500,12.373707715234994
60.0,7,1999,1999,0.0,0.0,994.0,Y,1804,2,1,Gd,1,Fin,2.0,Y,140,60,189000,12.149507585033072
75.0,6,1993,1994,0.0,0.0,763.0,Y,1655,2,1,TA,1,Fin,2.0,Y,157,84,175900,12.077676615757813
,6,1992,2007,0.0,935.0,1168.0,Y,1187,2,0,TA,0,Fin,2.0,Y,483,21,185000,12.128116509451258
63.0,6,1998,1998,0.0,0.0,789.0,Y,1465,2,1,TA,1,Fin,2.0,Y,0,75,180400,12.102937429832547
85.0,7,1990,1990,0.0,637.0,1300.0,Y,1341,1,1,Gd,1,Unf,2.0,Y,192,0,171500,12.052344376474922
,8,1985,1985,0.0,368.0,1488.0,Y,1502,1,1,Gd,0,RFn,2.0,Y,0,54,212000,12.264346270624157
